m_product_id;name;sku
318;CLORHIDRATO DE ARTICAINA;1003028
319;PAPERAS IGM ANTICUERPOS;1003020
320;PAPERAS IGG ANTICUERPOS;1003019
321;PANEL VIRAL DE LCR;1003018
322;PRE ALBUMINA;1003017
323;HERPES VIRUS SIMPLEX 1 Y 2 (HSV 1 + HSV2), DETECCION;1003016
324;CD 4;1002988
325;CH 50;1002987
326;PNEUMONIAS ATIPICAS;1002985
327;TIROGLOBULINA;1002982
328;GLUCOSA 6 FOSFATO DESHIDROGENASA G6PD;1002980
329;PLOMO;1002979
330;YODO;1002978
331;1-25 DIHIDROXICOLECALCIFEROL;1002977
332;RAST IGE LECHE DE VACA;1002970
333;BRUCELOSIS;1002968
334;DOSAJE DE ACIDO VANILMANDELICO;1002967
335;PANEL DE INFECCIONES DE TRASMICION SEXUAL;1002959
336;NEUMONIA ATIPICA;1002958
337;CUERPOS LAMENARES;1002911
338;SCREENING PARA PESTICIDAS;1002906
339;PANEL VIRAL RESPIRATORIO;1002904
340;DETECCION DE ADENOVIRUS;1002902
341;MERCURIO;1002899
342;ALUMINIO;1002898
343;CROMO;1002897
344;GLIADINA IGA - ANTICUERPOS;1002893
345;PERFIL TIROIDEO NEONATAL;1002892
346;FENITOINA;1002889
347;TOX - TOXOPLASMOSIS AC IGG CUANTITATIVO;1002888
348;TOX - TOXOPLASMOSIS AC IGM CUANTITATIVO;1002887
349;IGE ESPECIFICO F105 CHOCOLATE;1002886
350;PEPTIDO C;1002885
351;ECHOVIRUS IGM ANTICUERPOS;1002883
352;17-OH PROGESTERONA;1002880
353;VITAMINA A;1002879
354;SELENIO SERICO;1002878
355;VITAMINA E;1002877
356;COBRE SERICO;1002876
357;H.TESTOSTERONA TOTAL;1002875
358;AC - ANTICUERPOS ANTINUCLEARES;1002872
359;IGE ESPECIFICO BLOMIA TROPICALIS/D5;1002871
360;IGE - ALERGENO - ESPECIFICO DE 3RA GENERACION;1002869
361;PENICILINA V (PENICILLOYL V) C2;1002868
362;ADN;1002867
363;AMOXICILINA (AMOXICILLIN) C204;1002866
364;PENICILINA G (PENICILLOYL G) C1;1002865
365;CULTIVO PUNTA DE CATETER ARTERIAL;1002864
366;DETECCION DE ENTEROVIRUS, L.C.R.;1002861
367;STRONGYLOIDES;1002860
368;BETA 2 GLICOPROTEINA I IGG ANTICUERPOS;1002859
369;BETA 2 GLICOPROTEINA I IGA ANTICUERPOS;1002858
370;SNRNP (U1-SN RNP) ANTICUERPOS;1002857
371;ANCA-MPO IGG ANTICUERPOS (ANCA P);1002856
372;ANCA-PR3 IGG ANTICUERPOS (ANCA C);1002855
373;RO-SSA ANTICUERPOS;1002854
374;JO 1 ANTICUERPOS;1002853
375;INTOLERANCIA A LA LACTOSA;1002852
376;LATEX PARA MENINGOCOCO;1002851
377;LATEX PARA NEUMOCOCO;1002850
378;INTERFEROM GAMMA (QUANTIFERON PLUS);1002849
379;LA (SS - B) ANTICUERPOS;1002848
380;ADA;1002847
381;FTA - ABS - AC TOTALES;1002846
382;MEZCLA DE POLVOS (HP1);1002845
383;ENDOCRINOLOGIA URINARIA;1002835
384;FENOBARBITAL;1002821
385;IGE ESPECIFICO CLARA DE HUEVO/F1;1002820
386;IGE ESPECIFICO YEMA DE HUEVO/F75;1002819
387;IGE ESPECIFICO TOMATE/F25;1002818
388;LECHE (F2);1002816
389;CARIOTIPO FETAL EN LIQUIDO AMNIOTICO;1002814
390;COLORACION DE GRAM;1002604
391;LPA - LIPASA SERICA;1002583
392;HOMOCISTEINA;1002499
393;SHBG - GLOBULINA FIJ DE HORMONAS SEXUALES;1002498
394;E1 - ESTRONA;1002497
395;DHT - DIHIDROTESTOSTERONA;1002496
396;ROTA - ADENO TEST;1002465
397;TEST DE TOURS;1002390
398;ELECTROFORESIS DE PROTEINAS;1002377
399;PROTEINA IGB P3;1002376
400;STREPTOCOCCUS DEL GRUPO A - ANTIGENO;1002375
401;TREPONEMA PALLIDUM - ANTIC. TOTALES;1002374
402;FRUCTOSA (SEMEN);1002373
403;GASOMETRIA SANGRE VENOSA;1002372
404;BRRI - BILIRRUBINA INDIRECTA;1002371
405;BRRD - BILIRRUBINA DIRECTA;1002370
406;ANTITROMBINA III;1002367
407;PROTEINA F;1002366
408;PROTEINA C;1002365
409;HOMOS CITOSINA;1002364
410;ELECTROFORESIS DE HEMOGLOBINA;1002363
411;HBC - HEPATITIS B ANTICUERPOS ANTI ANTIGENO;1002362
412;VARICELLA ZOSTER IGM ANTICUERPOS;1002361
413;VARICELLA ZOSTER IGG ANTICUERPOS;1002360
414;MICROSOMAL;1002359
415;TPM - TEST DEL PIECITO MASTER;1002350
416;TPP - TEST DEL PIECITO PLUS;1002349
417;TPA - TEST DEL PIECITO AMPLIADO;1002348
418;TPB - TEST DEL PIECITO  BASICO;1002347
419;INFLUENZA A H1N1-ANTIGENO;1002346
420;CBZ - CARBAMAZEPINA;1002342
421;B12 - VITAMINA B12;1002340
422;UREAPLASMA SPP;1002337
423;TNI - TROPONINA I, CUALITATIVO;1002336
424;TGP - TRANSAMINASA GLUTAMINASA PIRIVICA;1002335
425;TROPONINA I CUANTITATIVA;1002333
426;PRUEBA DE COMPATIBILIDAD;1002332
427;ANTI-HBCII-HEPATITIS B CORE AC. TOTAL;1002330
428;PHS - PH EN SANGRE. TITUL. POTENCIOMETR;1002328
429;LIT - LITIO PLASMATICO;1002327
430;DIM - DIMERO-D (CUANTITATIVA);1002326
431;TRIPLE TEST;1002325
432;EAB - ASIDO BASE,PH,  PCO2 BIC, E.B.;1002323
433;BETA 2 GLICOPROTEINA IGG ANTICUERPOS;1002322
434;FER - FERRITINA;1002302
435;FER - FERREMIA;1002300
436;DEH - DEHIDROEPIANDROSTERONA SULFATO SANG.;1002296
437;COR-U - CORTISOL URINARIO;1002294
438;CBI - COOMBS AGLUTININAS ANTI RH;1002290
439;C50 - COMPLEMENTO ACTIVIDAD TOTAL (CH50);1002288
440;RDC -  COLONIA RECUENTO DE (UROCULTIVO);1002286
441;DOA - DROGAS DE ABUSO;1002283
442;MYCOPLASMA PNEUMONIAE;1002280
443;TRYPANOSOMA CRUZI ANTIC. IGM;1002278
444;TRYPANOSOMA CRUZI ANTIC. IGG;1002277
445;CLE  - CELULAS LE;1002276
446;C19 - CA 19-9;1002275
447;C15 - CA 15-3;1002274
448;C125 - CA 125;1002272
449;IGA - INMUNOGLOBULINA A;1002269
450;BEN - BENZODIACEPINA;1002268
451;ZND - BACILOSCOPIA DIRECTA Z.N;1002266
452;GLO - GLOBULINAS;1002264
453;FTA - ABS IGM;1002259
454;FTA - ABS IGG;1002258
455;ELECTROLITOS - ORINA;1002256
456;TEST DE ALCOHOLEMIA;1002253
457;FES - HIERRO SERICO;1002245
458;TRANSFERRINA;1002244
459;BNP - PEPTIDO NATRIURETICO TIPO B;1002241
460;"ASO - ANTIESTREPTOLISILINA ""O""";1002239
461;TRANSGLUTAMINASA TISULAR IGA ANTIC.;1002237
462;ATG - ANTI TIROGLOBULINA;1002235
463;ALA - ANTIC.ANTI SSB (O ANTI LA);1002233
464;ARO - ANTIC.ANTI SSA (O ANTI RO);1002231
465;ASM - ANTIC.ANTI SM (SMITH);1002229
466;DGP-PEPTIDOS DEAMINADOS DE GLIADINA IGG;1002227
467;DGP-PEPTIDOS DEAMINADOS DE GLIADINA IGA;1002225
468;GLIADINA IGG - ANTICUERPOS;1002223
469;CARDIOLIPINA IGM - ANTICUERPOS;1002219
470;CARDIOLIPINA IGG - ANTICUERPOS;1002217
471;ALR - ALDOESTERONA PLASMATICA;1002215
472;ADDIS - RECUENTO DE;1002212
473;C17 - CETOESTEROIDES NEUTRO TOT.URIN.;1002211
474;CARDIOLIPINA IGA - ANTICUERPOS;1002210
475;OSMOLARIDAD;1002206
476;BETA 2 GLICOPROTEINA IGM ANTICUERPOS;1002204
477;FENITOINA (HIDANTOINA O DIFENILHIDANTOINA);1002202
478;MULTIPLOS ANIMALES (EX1) IGE RAST;1002199
479;GRAMINEAS (GX1) IGE RAST;1002198
480;CASEINA (F78) IGE RAST;1002197
481;BETA LACTOGLOBULINA (F77) IGE RAST;1002196
482;ALFA LACTOALBUMINA (F76) IGE RAST;1002194
483;IGE RAST - BLOMIA TROPICALIS (D201);1002191
484;DERMATOPHAGOIDES FARINAE (D2) IGE RAST;1002190
485;DERMATOPHAGOIDES PTERONYSSINUS D1 IGE RAST;1002189
486;SCL 70 AUTO ANTICUERPOS;1002188
487;DOSAJE DE LEVETIRACETAM (ANTICONVULSIVANTE);1002187
488;ENDOMISIO IGA - ANTICUERPOS;1002186
489;NIVELES DE FENOBARBITAL;1002185
490;MARIHUANA;1002117
491;NEISSERIA GONORRHOEAE;1002114
492;ESTEATOCRITO HECES;1002095
493;IGM - INMUNOGLOBULINA M;1002094
494;IGG - INMUNOGLOBULINA G;1002093
495;ACIDO LACTICO. LACTATO;1002091
496;PCAC - PROCALCITONINA;1002090
497;TRANSGLUTAMINASA TISULAR IGG ANTIC.;1002014
498;CULTIVO NEISSERIA GONORRHOEAE;1002011
499;ALFA GLICOPROTEINA ACIDA;1001916
500;RENINA PLASMATICA;1001915
501;ACTIVIDAD DE RENINA PLASMATICA;1001911
502;HEPATITIS B ANTICUERPOS DE SUPERFICIE (HBS-AC);1001910
503;HEPATITIS ANTI HBE;1001909
504;TXA - TOXOPLASMA GONDII AVIDEZ;1001906
505;PTG - PROTEINOGRAMA;1001904
506;ANDROSTENEDIONA;1001903
507;AFP - ALFA-FETOPROTEINA;1001902
508;BHCG - SUB UNIDAD BETA CUANTITATIVA;1001901
509;HBE AG;1001899
510;HBE. AC;1001898
511;TTPA - TIEMPO DE TROMBOPLASTINA PARCIAL ACTIVADA;1001897
512;CBD - COOMBS DIRECTA;1001896
513;ANTICOAGULANTE LUPICO;1001895
514;RPB - MONONUCLEOSIS PAUL-BUNNEL;1001892
515;MYCOPLASMA HOMINIS;1001891
516;PPD - MANTOUX INTRADERMORREACCION;1001890
517;PG - PROGESTERONA EN SUERO;1001853
518;MICROALBUMINURIA DE 24 HORAS;1001851
519;THC (ORINA ESPONTANEA);1001850
520;LH - HORMONA LUTEINAZANTE;1001849
521;INSU - INSULINA SERICA;1001848
522;HGH (HORMONA DE CRECIMIENTO);1001847
523;E2 - ESTRADIOL EN SUERO;1001842
524;S-DHEA - DEHIDROEPIANDROSTERONA SULFATO;1001841
525;COR - CORTISOL PLASMATICO;1001840
526;PROTEINURIA ORINA ESPONTANEA;1001839
527;CEA - ANTI CARCINOEMBRIONARIO;1001835
528;ACTH HORMONA ADRENOCORTICOTROPA;1001832
529;ACIDO VANILMANDELICO ORINA DE 24 HS.;1001831
530;ACIDO VALPROICO;1001830
531;ACIDO OXALICO (OXALATO) ORINA DE 24HS. VER INSTRUC.;1001829
532;AFO - ACIDO FOLICO;1001828
533;ACIDO CITRICO (ORINA DE 24 HS) VER INSTRUCCIONES;1001827
534;17 HIDROXICORTICOSTEROIDES;1001826
535;17 CETOSTEROIDES FRACCIONADOS;1001825
536;CULTIVO - SECRECION VAGINAL;1001822
537;EUD - SECRECION URETRAL FROTIS;1001821
538;CULTIVO - SECRECION URETRAL  Y ATB;1001820
539;CULTIVO - SECRECION PURULENTA Y ATB;1001819
540;CULTIVO - SECRECION PROSTATICA FROTIS;1001818
541;CULTIVO - SECRECION NASAL Y ATB;1001817
542;ZN - ZINC SERICO;1001816
543;CULTIVO - SECRECION VULVO VAGINAL Y ATB;1001814
544;CULTIVO - SECRECION DE OIDO Y ATB;1001813
545;CULTIVO - SECRECION  DE HERIDA;1001812
546;CULTIVO - ORINA 1ER CHORRO Y ATB;1001811
547;CULTIVO - LIQUIDO PLEURAL Y ATB;1001810
548;CULTIVO - LIQUIDO PERITONEAL Y ATB;1001809
549;CULTIVO - LIQUIDO GASTRICO Y ATB;1001808
550;CULTIVO - LIQUIDO ASCITICO Y ATB;1001807
551;CULTIVO - LIQUIDO ARTICULAR Y ATB;1001806
552;CULTIVO - LIQUIDO AMNIOTICO Y ATB;1001805
553;LIQUIDO PLEURAL CITOQUIMICO;1001804
554;CITOQUIMICO - LIQUIDOS BIOLOGICOS;1001803
555;LIQUIDO ARTICULAR CITOQUIMICO;1001802
556;LCR CULTIVO Y ATB;1001801
557;CFR - HECES HONGOS (EX. EN FRESCO);1001800
558;FMF - FROTIS DE HECES;1001799
559;ESPUTO - COL. DE ZIEHL NEELSEN;1001798
560;NOUS -ESPERMOGRAMA;1001797
561;CULTIVO - ESPERMOCULTIVO;1001796
562;CMF - COPROCULTIVO;1001795
563;SOM - SANGRE OCULTA;1001791
564;ENDOMISIO IGM - ANTICUERPOS;1001790
565;LMF - LEUCOCITOS EN MATERIA FECAL;1001788
566;PHC - HECES-HP;1001787
567;PAR - HECES SIMPLE;1001785
568;ESTUDIO DE HECES -  BENEDICT;1001784
569;CFR - FROTIS DE MATERIA FECAL;1001783
570;AZUCARES REDUCTORES;1001782
571;ENDOMISIO IGG - ANTICUERPOS;1001781
572;BANDAS OLIGOCLONALES;1001780
573;ROT - ROTAVIRUS;1001779
574;ANTI-CCP PEPTIDO CICLICO CITRULINADO;1001778
575;ANTI RNP;1001777
576;ANTI JO;1001776
577;ANTI CM;1001775
578;RO - SSA ANTICUERPOS;1001774
579;ANTI CENTROMERO.;1001772
580;CULTIVO IDENTIFICACION DE HONGOS;1001771
581;NUCMM-CITOMEGALOVIRUS ANTICUERPOS IGM;1001770
582;NUCMG-CITOMEGALOVIRUS ANTICUERPOS IGG;1001769
583;NS1 -  DENGUE ANTIGENO;1001768
584;DGM - DENGUE  IGG-IGM;1001767
585;HEPATITIS AGHBE;1001766
586;INFLUENZA A-B-ANTIGENO;1001765
587;HS1M - HERPES SIMPLE TIPO I  IGM;1001762
588;HS1G - HERPES SIMPLE TIPO I  IGG;1001761
589;ALDOLASA SERICA;1001760
590;HAV -  HEPATITIS A  ANTICUERPOS;1001759
591;HCV - HEPATITIS C ANTICUERPOS TOTAL;1001758
592;HPY - HELICOBACTER PYLORI AC. TOTAL;1001757
593;CULTIVO - MICRO BACTERIOLOGICO;1001756
594;HEPATITIS B CORE IGM ANTICUERPOS;1001755
595;VDRL LIQ. CEFALORRAQUIDEO;1001754
596;WID - REACCION DE WIDAL;1001752
597;HUD - REACCION DE HUDDLESON;1001751
598;RPB - MONOTEST;1001748
599;KAS - POTESEMIA;1001744
600;HOW - PLASMA RECALCIFICADO-HOWELL;1001743
601;CHI - CHAGAS;1001742
602;CHLAMYDIA TRACHOMATIS IGM;1001741
603;ANTIGENO CHLAMYDIA T;1001739
604;CHLAMYDIA TRACHOMATIS IGG;1001738
605;RPQC - PLAQUETAS RECUENTOS;1001737
606;DNADS - ANTICUERPOS;1001733
607;FAN - ANTICUERPOS ANTI-NUCLEARES (FAN);1001732
608;URU - UREA ORINA ESPONTANEA;1001731
609;NAU - SODIO (ORINA);1001728
610;NA - SODIO;1001727
611;PUR - PROTEINURIA 24HS;1001726
612;PROTEINAS RELACION A/G;1001724
613;KAU - POTASIO (ORINA);1001723
614;MGO - MAGNESIO  (ORINA).;1001722
615;LIT - LITIO;1001721
616;LIP - LIPIDOS TOTALES;1001720
617;MGO - MAGNESIO (ORINA);1001719
618;GPP - GLUCOSA POST PRANDIAL;1001713
619;GLO - GLUCOSA (ORINA 24 HORAS);1001712
620;GLU - GLUCOSA;1001711
621;PHOS - FOSFORO (ORINA);1001709
622;FOL - FOSFOLIPIDOS;1001707
623;FAL - FOSFATASA ALCALINA;1001706
624;FAP - FOSFATASA ACIDA PROSTATICA;1001705
625;CTG - CURVA DE GLUCEMIA  2 HS.;1001701
626;OCR - CREATININA (ORINA);1001700
627;CHE - COLINESTERASA;1001698
628;VLL - COLESTEROL VLDL;1001697
629;LDL - COLESTEROL LDL;1001695
630;HDL - COLESTEROL HDL;1001694
631;CLORUROS (ORINA)- CLORO;1001693
632;CLORO (SUERO);1001692
633;CLE - CLEARANCE DE CREATININA;1001691
634;CPK - CK-TOTAL;1001690
635;CKM - CKMB;1001689
636;CAI - CALCIO IONICO;1001688
637;CAO - CALCIO (ORINA);1001687
638;BRRT - BILIRRUBINA TOTAL;1001685
639;OAM - ALFA AMILASA (ORINA);1001684
640;URI - ACIDO URICO (ORINA);1001681
641;TSA - TIEMPO DE SANGRIA;1001679
642;HOW - TIEMPO DE HOWELL;1001677
643;TCO - TIEMPO DE COAGULACION;1001676
644;TS - TIEMPO DE SANGRIA;1001675
645;RET - RETICULOCITOS;1001673
646;FIB - FIBRINOGENO;1001668
647;ANTI  SCL70;1001656
648;PROTEINA M (BENCE-JONES);1001572
649;PERFIL TIROIDEO;1001570
650;PERFIL TIROIDEO LIBRE;1001569
651;HLA (ANTIGENO HLA B27);1001568
652;PIRILYNK K-D;1001567
653;MYCOBACTERIUM TUBERCULOSIS;1001564
654;TSH - THYROID-STIMULATING HORMONE;1001549
655;K - POTASIO;1001518
656;INR RAZON NORMALIZADA INTERNACIONAL;1001517
657;CULTIVO - SECRECION TRAQUEAL;1001516
658;HPYA - HELICOBACTER PYLORI ANTIC. IGA;1001515
659;CULTIVO PARA BUSQUEDA DE KPC (KCLESBSIELLA);1001514
660;CULTIVO PARA BUSQUEDA DE EVR (ENTEROCOCO VANCOMICINA RESISTENTE);1001513
661;CULTIVO PUNTA DE CATETER;1001512
662;TROPONINA I ULTRA CUANTITATIVA;1001511
663;CORTISOL  ( PM );1001510
664;HBS AG - HEPATITIS B ANTIGENO SUPERFICIE;1001508
665;MARCADORES;1001505
666;TXG AVI;1001504
667;TXM AVI;1001503
668;WESTERN BLOT;1001501
669;NOS-RUBEOLA ANTICUERPOS IGG;1001500
670;CREATININA ORINA ESPONTANEA;1001498
671;CHIKUNGUNYA;1001480
672;B6 - VITAMINA B6;1001479
673;HAPTOGLOBINA;1001478
674;ASPERGILLUS SEROLOGIA;1001477
675;ARTRITEST IGM;1001476
676;ARTRITEST IGG;1001475
677;ARTRITEST IGA;1001474
678;BETA 2 MICROGLOBULINA;1001473
679;ZINC;1001458
680;CORTISOL  ( AM );1001456
681;INP - INSULINA PRE Y POST PANDRIAL;1001453
682;DERIVACION DE HEMATOLOGIA;1001439
683;LEISHMANIA VISCERAL ANTIC. IGM;1001382
684;HBC.AC;1001379
685;CHE - PSEUDOCOLINESTERESA;1001378
686;PH - PH EN MATERIAL FECAL;1001377
687;CTG - GLUCEMIA CURVA DE;1001370
688;HGB - HEMOGLOBINA;1001368
689;RGR - GLOBULOS ROJOS RECUENTO DE;1001367
690;RGB - GLOBULOS BLANCOS RECUENTO DE;1001366
691;R MOSQU - IGE ESPECIFICA VENENO MOSQUITO;1001363
692;R POLVO - IGE ESPECIFICA POLVO AMBIENTAL;1001362
693;R MANI - IGE ESPECIFICA MANI;1001361
694;IGE DERMATOPHAGOIDES PTERONYSSINUS/D1;1001358
695;IGE DERMATOPHAGOIDES FARINAE/D2;1001357
696;HUD - HUDDLESSON REACCION;1001355
697;HIV - HIV 1- HIV2 AG/AB;1001354
698;HBS AG - HEPATITIS B SUPERFICIE CUANTIT;1001353
699;HTO - HEMATOCRITO;1001349
700;HPY  - HELICOBACTER PYLORI CULTIVO;1001347
701;HPG - HELICOBACTER PYLORI ANTICUERPOS IGG;1001346
702;HPM - HELICOBACTER PYLORI  ANTICUERPOS IGM;1001343
703;DHEA - DEHIDROEPIANDROSTERONA;1001337
704;FSH -HORMONA FOLICULOESTIMULANTE;1001333
705;ANTI-PEROXIDASA TIROIDEA (ANTI-TPO);1001330
706;AUTOANTICUERPOS IGG ANTITIROGLOBULINA;1001328
707;TEL - TESTOSTERONA LIBRE;1001326
708;ANTICUERPO PARA TBC;1001237
709;ALDOLASA;1000900
710;AMONIO;1000827
711;CALCITONINA;1000686
712;SATURACION DE TRANSFERRINA;1000676
713;ESTUDIOS SEROLOGICOS;1000638
714;SELENIO;1000604
715;PH - VAGINAL;1000502
716;EPSTEIN BARR VIRUS ANTICUERPOS  IGM;1000471
717;ANTIFOSFOLIPIDOS IGM ANTICUERPOS;1000465
718;EPSTEIN BARR VIRUS ANTICUERPOS  IGG;1000450
719;RUBEOLA ANTICUERPOS IGM;1000449
720;CLAMYDIA PNEUMONEAE IGM;1000448
721;CHLAMYDIA PNEUMONEAE IGG;1000447
722;MYCOPLASMA PNEUMONIAE IGM;1000446
723;MYCOPLASMA PNEUMONIAE IGG;1000445
724;ANTIGENO ADENOVIRUS;1000444
725;ANTIFOSFOLIPIDOS IGG ANTICUERPOS;1000409
726;R-SOJA;1000340
727;R-GATO;1000322
728;R-PERRO;1000308
729;SOMATOMEDINA C (IGF-1);1000303
730;PCR ULTRASENSIBLE;1000296
731;ZING;1000293
732;ADENOVIRUS IGM;1000243
733;ADENOVIRUS IGG;1000242
734;25-HIDROXI VITAMINA D;1000229
735;SHBG - HORMONAS SEXUALES;1000162
736;PTH - HORMONA PARATIROIDEA;1000086
737;BACTEROTOMIA;1000050
738;ANTI HBS;1000049
739;ANTI HBE;1000048
740;COPROFUNCIONAL;1000006
741;R-CACAO;1000004
